Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"AVON","VR",5,2,0,,0
"BARKHAMSTED","VR",0,1,0,,0
"BETHANY","VR",0,2,1,,0
"BETHEL","VR",2,0,0,,0
"BETHLEHEM","VR",1,0,0,,0
"BLOOMFIELD","VR",2,1,0,,0
"BOLTON","VR",0,1,0,,0
"BRIDGEWATER","VR",0,1,0,,0
"GREENWICH","VR",1,0,0,,0
"CANTON","VR",2,2,0,,0
"CHESHIRE","VR",3,0,0,,0
"BRISTOL","VR",3,0,0,,0
"BROOKFIELD","VR",1,0,0,,0
"CHESTER","VR",2,0,0,,0
"COLCHESTER","VR",1,1,0,,0
"COVENTRY","VR",1,0,0,,0
"CROMWELL","VR",1,0,1,,0
"DANBURY","VR",6,0,0,,0
"DARIEN","VR",2,0,0,,0
"EAST GRANBY","VR",0,2,0,,0
"EAST HAMPTON","VR",1,0,0,,0
"EAST HARTFORD","VR",1,0,0,,0
"EAST LYME","VR",1,1,0,,0
"ELLINGTON","VR",0,1,1,,0
"ENFIELD","VR",2,0,0,,0
"ESSEX","VR",3,0,0,,0
"FARMINGTON","VR",1,0,0,,0
"GLASTONBURY","VR",1,0,0,,0
"GOSHEN","VR",1,1,0,,0
"GRANBY","VR",1,0,0,,0
"GRISWOLD","VR",0,0,1,,0
"GROTON","VR",1,0,0,,0
"GROTON (City of)","VR",1,0,0,,0
"HADDAM","VR",2,0,0,,0
"HAMDEN","VR",1,0,0,,0
"HARTFORD","VR",2,0,1,,0
"KENT","VR",0,1,0,,0
"LEDYARD","VR",1,0,0,,0
"LITCHFIELD","VR",2,0,0,,0
"LYME","VR",0,2,0,,0
"MANSFIELD","VR",0,0,1,,0
"MERIDEN","VR",3,0,0,,0
"MIDDLEBURY","VR",1,0,0,,0
"MIDDLETOWN","VR",1,0,0,,0
"MORRIS","VR",2,0,0,,0
"NEW BRITAIN","VR",2,0,1,,0
"NEW CANAAN","VR",1,0,0,,0
"NEWTOWN","VR",2,1,0,,0
"NORFOLK","VR",1,0,0,,0
"NORTH STONINGTON","VR",0,4,0,,0
"NORWALK","VR",4,0,0,,0
"NORWICH","VR",2,0,0,,0
"STONINGTON","VR",1,0,1,,0
"OLD SAYBROOK","VR",1,0,0,,0
"ORANGE","VR",2,1,0,,0
"PLAINVILLE","VR",2,1,0,,0
"PROSPECT","VR",0,1,1,,0
"REDDING","VR",0,0,1,,0
"SHARON","VR",0,1,0,,0
"SHERMAN","VR",1,0,0,,0
"SOUTHBURY","VR",1,0,0,,0
"SOUTHINGTON","VR",0,0,1,,0
"KILLINGLY","VR",1,0,0,,0
"MONROE","VR",2,0,1,,0
"NAUGATUCK","VR",2,0,0,,0
"SOMERS","VR",,0,0,,0
"STAFFORD","VR",3,0,0,,0
"STERLING","VR",0,1,0,,0
"THOMASTON","VR",1,0,0,,0
"TRUMBULL","VR",2,0,0,,0
"WESTPORT","VR",5,0,0,,0
"WINDSOR","VR",1,0,1,,0
"OXFORD",,0,0,1,,0
"SEYMOUR","VR",0,0,1,,0
"SHELTON","VR",0,1,1,,0
