SwitchboardID,ItemNumber,ItemText,Command,Argument
1,0,"Main Switchboard",,"Default"
1,1,"View Individual Town Pages, Statewide Reports, Form of Govt. and Dept. of Education Data",1,"2"
1,2,"View Bond Ratings, Housing,  Pension and OPEB  Reports",1,"3"
1,3,"View Population and Area Reports",1,"4"
1,4,"View Income, Unemployment and TANF Data",1,"5"
1,5,"View Debt and Property Tax Reports",1,"6"
1,6,"View Grand List and Mill Rate Data",1,"7"
1,7,"View underlying data such as Tables, Queries, Report design",7,"Select and Minimize Switchboard"
1,8,"Exit the Database and Application",6,
2,0,"Individual Towns, Statewide Data, Form of Govt. and Educaton Expenditures Switchboard",0,
2,1,"View Individual Town Pages",4,"Fiscal Indicators 2007-2011 Individual Town Pages"
2,2,"View On-Behalf Payment Information",4,"OBP Report v8"
2,3,"View CT Totals",4,"Totals: 2007-2011 Main Report"
2,4,"View CT Averages",4,"2011 Municipal Averages"
2,5,"View Form of Government",4,"Form of Govt by Types - Main Report"
2,6,"View Education Expenditures per Pupil - 2009 to 2011",4,"NCE per Pupil: FY 2009-11 by Town"
2,7,"View Education Expenditures per Pupil Rankings",4,"NCE per Pupil: 2011 Ranking"
2,8,"Go Back to Main Switchboard",1,"1"
3,0,"Bond Ratings, Housing, Pensions and OPEB Switchboard",0,
3,1,"View Bond Ratings from Moody's, S&&P and Fitch",4,"Ratings for Municipalities and RSDs"
3,2,"View Moody's Bond Ratings by Rating Categories",4,"Moody's Bond by type - Main Report"
3,3,"View Housing Data",4,"Housing Data 2011 Report with 2010 Comparative Totals Data"
3,4,"View Types of Pension Plans",4,"pension types - 2011 with gridlines"
3,5,"View Funding Status of DB Pension Plans",4,"Pension AAL Report 2011 - for FI"
3,6,"View Funding Status of OPEB Plans",4,"OPEB Status 2011"
3,7,"Go Back to Main Switchboard",1,"1"
4,0,"Population and Area  Switchboard",0,
4,1,"View Population as of July 1, 2011",4,"Population - July 2011 by Town"
4,2,"View July 1, 2011 Population Rankings",4,"Population - July 2011 Ranking"
4,3,"View Population Density",4,"Population: 2011 Density by Town"
4,4,"View Population Density Rankings",4,"Population: 2011 Density Ranking"
4,5,"View Land Area in Square Miles Report",4,"Area In Square Miles by county with Total - 2010 Census"
4,6,"Go Back to Main Switchboard",1,"1"
5,0,"Income, Unemployment, and TANF Switchboard",0,
5,1,"View Per Capita Income - 2011 ACS",4,"Per Capita Income by Town - 2011 ACS"
5,2,"View Per Capita Income Rankings - 2011 ACS",4,"Per Capita Income Sorted - 2011 ACS"
5,3,"View Median Household Income - 2011 ACS",4,"Median Household Income by Town - 2011 ACS"
5,4,"View Median Household Income Rankings - 2011 ACS",4,"Median Household Income Sort - 2011 ACS"
5,5,"View Unemployment Comparison - Nov. 2012 vs. 2011",4,"Unemployment Rates: Months of November 2012 and 2011"
5,6,"View Unemployment Rankings - Calendar Year 2011",4,"Unemployment Rates: 2011 Ranking"
5,7,"View TANF Recipients Rankings",4,"TANF Recipients 2012% Sort - 2012 and 2011 Data"
5,8,"Go Back to Main Switchboard",1,"1"
6,0,"Debt and  Property Tax Switchboard",0,
6,1,"View Debt per Capita",4,"Debt: 2011 Per Capita by Town"
6,2,"View Debt per Capita Rankings",4,"Debt: 2011 Per Capita Rank"
6,3,"View Debt to Grand List Ratios",4,"Debt to Grand Lists Ratios FYE2011"
6,4,"View Tax Collection Report",4,"Taxes: 2011 Collection % Data Report"
6,5,"View Current Year Tax Collection Rates by Rankings",4,"Tax Collection: 2011 Current Year Rates by Rank"
6,6,"View Tax Levy per Capita by Rank",4,"Taxes: 2011 Adjusted Levy per Capita Ranking"
6,7,"View Property Tax Revenue as a % Total Revenue by Rankings",4,"Tax Rev as % of Total Rev - 2011"
6,8,"Go Back to Main Switchboard",1,"1"
7,0,"Grand List and Mill Rate Switchboard",0,
7,1,"View Net Grand Lists - 2010 and 2009 Grand List Years",4,"GL Data: Net Grand List for 2010 and 2009 List Years"
7,2,"View Grand List Components",4,"GL Data: grlst2010 component report"
7,3,"View Equalized Net Grand Lists - 2009 and 2010 Grand List Years",4,"GL Data: ENGL for 2010 and 2009 List Years"
7,4,"View Equalized Net Grand List per Capita Rankings",4,"GL Data: ENGL per Capita by Rank for FYE 2011"
7,5,"View Revaluation Dates",4,"Revaluation Dates by Town - 2012 GL Year"
7,6,"View Equalized Mill Rates by Rank",4,"GL Data: Equalized Mill Rates for 2011 - Rank"
7,7,"View Latest Mill Rates",4,"GL Data: ACMR FYE 2012 and 2013"
7,8,"Go Back to Main Switchboard",1,"1"
